----------------------------------------
Begin Torque Prologue on nid25333
at Sat Oct 27 11:19:58 CDT 2018
Job Id:			9149709.bw
Username:		tra437
Group:			TRAIN_bauh
Job name:		ACG
Requested resources:	nodes=1:ppn=16:xk,walltime=45:00:00,neednodes=1:ppn=16:xk
Queue:			normal
Account:		bauh
End Torque Prologue:  0.127 elapsed
----------------------------------------




Files already downloaded and verified
Epoch 153: test_acc: 82.7037%, epoch_time: 534.81
Epoch 154: test_acc: 83.5443%, epoch_time: 535.06
Epoch 155: test_acc: 82.1301%, epoch_time: 534.55
Epoch 156: test_acc: 82.4466%, epoch_time: 534.57
Epoch 157: test_acc: 82.9905%, epoch_time: 534.75
Epoch 158: test_acc: 83.6531%, epoch_time: 534.93
Epoch 159: test_acc: 83.1685%, epoch_time: 534.63
Epoch 160: test_acc: 82.6741%, epoch_time: 534.61
Epoch 161: test_acc: 81.6555%, epoch_time: 534.66
Epoch 162: test_acc: 82.9312%, epoch_time: 534.69
Epoch 163: test_acc: 83.5839%, epoch_time: 534.55
Epoch 164: test_acc: 82.9213%, epoch_time: 534.63
Epoch 165: test_acc: 82.6246%, epoch_time: 534.68
Epoch 166: test_acc: 82.8323%, epoch_time: 534.65
Epoch 167: test_acc: 83.1685%, epoch_time: 534.69
Epoch 168: test_acc: 83.3564%, epoch_time: 534.71
Epoch 169: test_acc: 83.5740%, epoch_time: 534.85
Epoch 170: test_acc: 82.8323%, epoch_time: 534.93
Epoch 171: test_acc: 82.8521%, epoch_time: 534.40
Epoch 172: test_acc: 82.8718%, epoch_time: 534.42
Epoch 173: test_acc: 83.8805%, epoch_time: 534.59
Epoch 174: test_acc: 83.4652%, epoch_time: 534.84
Epoch 175: test_acc: 83.3169%, epoch_time: 534.46
Epoch 176: test_acc: 82.9509%, epoch_time: 534.78
Epoch 177: test_acc: 83.0894%, epoch_time: 534.76
Epoch 178: test_acc: 82.4565%, epoch_time: 534.58
Epoch 179: test_acc: 83.1092%, epoch_time: 534.70
Epoch 180: test_acc: 83.8311%, epoch_time: 534.67
Epoch 181: test_acc: 83.3663%, epoch_time: 534.88
Epoch 182: test_acc: 83.5641%, epoch_time: 534.59
Epoch 183: test_acc: 82.7532%, epoch_time: 534.32
Epoch 184: test_acc: 83.5641%, epoch_time: 534.70
Epoch 185: test_acc: 82.6345%, epoch_time: 534.73
Epoch 186: test_acc: 83.3861%, epoch_time: 534.79
Epoch 187: test_acc: 81.8829%, epoch_time: 534.93
Epoch 188: test_acc: 83.4850%, epoch_time: 535.00
Epoch 189: test_acc: 82.9905%, epoch_time: 534.67
Epoch 190: test_acc: 83.5344%, epoch_time: 534.81
Epoch 191: test_acc: 83.5245%, epoch_time: 534.88
Epoch 192: test_acc: 83.7915%, epoch_time: 534.60
Epoch 193: test_acc: 83.5740%, epoch_time: 534.29
Epoch 194: test_acc: 83.6234%, epoch_time: 534.84
Epoch 195: test_acc: 83.8410%, epoch_time: 534.39
Epoch 196: test_acc: 84.0487%, epoch_time: 534.77
Epoch 197: test_acc: 82.6839%, epoch_time: 535.11
Epoch 198: test_acc: 82.8916%, epoch_time: 534.93
Epoch 199: test_acc: 83.0894%, epoch_time: 534.42
Application 70420069 resources: utime ~98395s, stime ~8544s, Rss ~1600256, inblocks ~1776586, outblocks ~10765575
